rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,2455003.539,2.160000e-03,-2.160000e-03,0,,,,,,0.1460,0.3180,-0.1460,2.95750,0.08190,-0.08190,,,,6.1580e+02,1.950e+01,-1.950e+01,0.022344,8.320000e-04,-5.280000e-04,3.20796,0.33173,-1.09986,LS+MCMC,2.26,2.600e-01,-1.500e-01,0.0853,,,89.66,,,793.0,,,93.59,29.45,-16.65,24.810000,2.600000,-2.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,5.1358490,28.4708200,35.80,2,142,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.68640,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-001-20160209194854_dvs.pdf,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.002,19.462294000,0.000014000,48.14191000,0.00013000,0.43000,0.51000,0.94000,0.48000,-2.000000e-04,3.20000e-04,-5.500000e-04,3.10000e-04,-0.0100,0.1300,0.2000,0.1600,0.2000,0.1700,0.0800,0.1300,0.3100,0.1700,0.3200,0.1600
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9690,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,2454995.514,3.520000e-03,-3.520000e-03,0,,,,,,0.5860,0.0590,-0.4430,4.50700,0.11600,-0.11600,,,,8.7480e+02,3.550e+01,-3.550e+01,0.027954,9.078000e-03,-1.347000e-03,3.02368,2.20489,-2.49638,LS+MCMC,2.83,3.200e-01,-1.900e-01,0.2734,,,89.57,,,443.0,,,9.11,2.87,-1.62,77.900000,28.400000,-28.400000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,7.0276690,20.1095070,25.80,2,25,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.00230,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-002-20160209194854_dvs.pdf,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.003,19.462265000,0.000020000,48.14199000,0.00019000,-0.63000,0.72000,1.23000,0.68000,6.600000e-04,6.50000e-04,-1.050000e-03,6.30000e-04,0.3900,0.3600,0.0000,0.4800,0.3900,0.3600,0.4900,0.3400,0.1200,0.7300,0.5000,0.4500
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,2.525591777,3.7610000e-06,-3.7610000e-06,171.5955500,1.130000e-03,-1.130000e-03,2455004.596,1.130000e-03,-1.130000e-03,0,,,,,,0.7010,0.2350,-0.4780,1.65450,0.04200,-0.04200,,,,6.0330e+02,1.690e+01,-1.690e+01,0.024064,3.751000e-03,-1.522000e-03,1.98635,2.71141,-1.74541,LS+MCMC,2.75,8.800e-01,-3.500e-01,0.0374,,,85.41,,,1406.0,,,926.16,874.33,-314.24,8.750000,4.000000,-4.000000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2844,0.3661,q1_q17_dr25_koi,4.7499450,33.1919000,40.90,1,515,1,q1_q17_dr25_tce,01111111111111111000000000000000,0.30900,Mandel and Agol (2002 ApJ 580 171),,,010/010854/010854555/dv/kplr010854555-20160209194854_dvr.pdf,010/010854/010854555/dv/kplr010854555-001-20160209194854_dvs.pdf,6031.00,169.00,-211.00,4.438,0.070,-0.210,0.0700,0.2500,-0.3000,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360,,,,q1_q17_dr25_stellar,288.754880,48.226200,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.733,19.250325800,0.000009700,48.22626000,0.00010000,-0.01000,0.35000,0.23000,0.37000,8.000000e-05,2.00000e-04,-7.000000e-05,2.20000e-04,0.0300,0.1900,-0.0900,0.1800,0.1000,0.1400,0.0700,0.1800,0.0200,0.1600,0.0700,0.2000
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,11.094320540,2.0360000e-05,-2.0360000e-05,171.2011600,1.410000e-03,-1.410000e-03,2455004.201,1.410000e-03,-1.410000e-03,0,,,,,,0.5380,0.0300,-0.4280,4.59450,0.06100,-0.06100,,,,1.5175e+03,2.420e+01,-2.420e+01,0.036779,5.115000e-03,-1.065000e-03,0.67324,0.33286,-0.38858,LS+MCMC,3.90,1.270e+00,-4.200e-01,0.0992,,,88.11,,,835.0,,,114.81,112.85,-36.70,16.360000,8.100000,-8.100000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,9.0464560,55.2048650,66.50,3,95,1,q1_q17_dr25_tce,01111101110111011000000000000000,0.09750,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-001-20160209194854_dvs.pdf,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752406100,0.000006100,48.22471000,0.00006500,-0.12000,0.22000,0.14000,0.24000,4.000000e-05,3.40000e-04,,,0.0400,0.1200,-0.0700,0.1100,0.0800,0.1300,-0.0200,0.1300,-0.0800,0.1000,0.0800,0.1000
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,4.134435120,1.0460000e-05,-1.0460000e-05,172.9793700,1.900000e-03,-1.900000e-03,2455005.979,1.900000e-03,-1.900000e-03,0,,,,,,0.7620,0.1390,-0.5320,3.14020,0.06730,-0.06730,,,,6.8600e+02,1.870e+01,-1.870e+01,0.026133,1.968000e-03,-2.055000e-03,0.37377,0.74768,-0.26357,LS+MCMC,2.77,9.000e-01,-3.000e-01,0.0514,,,83.72,,,1160.0,,,427.65,420.33,-136.70,6.960000,2.800000,-2.800000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,5.5006430,33.5466580,40.20,3,240,2,q1_q17_dr25_tce,01111101110111011000000000000000,0.54600,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-002-20160209194854_dvs.pdf,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752413000,0.000010000,48.22458000,0.00011000,0.14000,0.36000,-0.32000,0.40000,-1.600000e-04,2.50000e-04,,,0.2500,0.1400,0.0900,0.1600,0.2600,0.1600,0.1800,0.1500,0.0600,0.1500,0.1900,0.1700
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9920,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,2.566588970,1.7810000e-05,-1.7810000e-05,179.5543700,4.610000e-03,-4.610000e-03,2455012.554,4.610000e-03,-4.610000e-03,0,,,,,,0.7550,0.2120,-0.5230,2.42900,0.16500,-0.16500,,,,2.2650e+02,1.680e+01,-1.680e+01,0.014983,3.935000e-03,-1.417000e-03,0.48909,0.95593,-0.45121,LS+MCMC,1.59,5.200e-01,-1.700e-01,0.0374,,,82.17,,,1360.0,,,807.74,793.91,-258.20,5.540000,2.700000,-2.700000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,4.3886313,12.3250940,15.00,3,355,3,q1_q17_dr25_tce,01111101110111011000000000000000,0.43520,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-003-20160209194854_dvs.pdf,6046.00,189.00,-232.00,4.486,0.054,-0.229,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,,,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752412000,0.000028000,48.22476000,0.00030000,0.10000,1.00000,0.30000,1.10000,-4.000000e-05,2.10000e-04,,,-0.3300,0.3300,-0.3000,0.2100,0.4500,0.2800,-0.4100,0.3300,-0.2900,0.2100,0.5000,0.3000
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,16.068646740,1.0880000e-05,-1.0880000e-05,173.6219370,5.170000e-04,-5.170000e-04,2455006.622,5.170000e-04,-5.170000e-04,0,,,,,,0.0520,0.2620,-0.0520,3.53470,0.02410,-0.02410,,,,4.9143e+03,3.330e+01,-3.330e+01,0.062161,9.130000e-04,-4.280000e-04,3.66590,0.11507,-0.51226,LS+MCMC,5.76,2.200e-01,-4.900e-01,0.1158,,,89.92,,,600.0,,,30.75,4.46,-6.66,36.850000,1.200000,-1.200000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1451,0.5820,q1_q17_dr25_koi,20.4571630,137.4498100,161.90,3,69,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.18190,Mandel and Agol (2002 ApJ 580 171),,,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,010/010910/010910878/dv/kplr010910878-001-20160209194854_dvs.pdf,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,,,,q1_q17_dr25_stellar,286.999480,48.375790,15.841,16.559,15.770,15.534,15.368,14.363,13.868,13.785,0.063,19.133298900,0.000002500,48.37577800,0.00002400,0.03300,0.09100,-0.04400,0.08600,2.600000e-04,6.30000e-04,4.900000e-04,7.80000e-04,0.0410,0.0750,-0.0150,0.0730,0.0440,0.0750,0.0050,0.0750,0.0300,0.0820,0.0310,0.0810
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.8110,0,0,0,0,q1_q17_dr25_koi,CENT_SATURATED,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,2454955.763,8.700000e-06,-8.700000e-06,0,,,,,,0.8180,0.0010,-0.0010,1.74319,0.00107,-0.00107,,,,1.4231e+04,4.200e+00,-4.200e+00,0.123871,5.100000e-05,-7.100000e-05,1.83538,0.00587,-0.00846,LS+MCMC,13.04,5.100e-01,-5.100e-01,0.0354,,,84.41,,,1339.0,,,761.46,106.21,-95.76,8.397700,0.026900,-0.026900,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2676,0.3928,q1_q17_dr25_koi,544.1701000,6468.0400000,4304.30,1,432,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.15220,Mandel and Agol (2002 ApJ 580 171),,,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,011/011446/011446443/dv/kplr011446443-001-20160209194854_dvs.pdf,5820.00,78.00,-78.00,4.457,0.024,-0.024,-0.0600,0.1500,-0.1500,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560,,,,q1_q17_dr25_stellar,286.808470,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.920,9.846,0.000,19.120564040,0.000000046,49.31642961,0.00000049,-0.02320,0.00160,0.10660,0.00180,-1.200000e-04,1.20000e-04,7.800000e-04,1.90000e-04,-0.0090,0.0680,-0.3000,0.1600,0.3000,0.1600,0.0150,0.0690,-0.2700,0.1700,0.2700,0.1700
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,Active,2017-05-10,CANDIDATE,1.0000,0,1,0,0,q1_q17_dr25_koi,MOD_SEC_DV---PLANET_OCCULT_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE---CENT_SATURATED,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,2454954.359,1.600000e-05,-1.600000e-05,0,,,,,,0.2240,0.1590,-0.2160,3.88864,0.00203,-0.00203,,,,6.6747e+03,1.700e+00,-1.700e+00,0.075522,2.980000e-04,-3.500000e-04,0.37936,0.02846,-0.02633,LS+MCMC,16.10,8.100e-01,-9.100e-01,0.0376,,,87.21,,,2048.0,,,4148.92,651.59,-654.46,4.602000,0.345000,-0.345000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3168,0.2958,q1_q17_dr25_koi,232.2700000,3862.1846000,5945.90,1,611,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.00000,Mandel and Agol (2002 ApJ 580 171),,,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,010/010666/010666592/dv/kplr010666592-001-20160209194854_dvs.pdf,6440.00,76.00,-89.00,4.019,0.033,-0.027,0.1400,0.1500,-0.1500,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910,,,,q1_q17_dr25_stellar,292.247280,47.969521,10.463,10.935,10.490,,,9.555,9.344,9.334,,19.483163025,0.000000059,47.96930831,0.00000063,0.39860,0.00210,-0.75850,0.00230,-1.754000e-03,3.80000e-05,,,2.2200,0.5700,-3.2900,0.5000,3.9700,0.7000,2.0200,0.6900,-3.6700,0.5100,4.1900,0.7500
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,Active,2017-05-10,CANDIDATE,0.9980,0,0,0,0,q1_q17_dr25_koi,NO_COMMENT,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,2454954.119,4.710000e-05,-4.710000e-05,0,,,,,,0.6310,0.0070,-0.0070,3.19843,0.00653,-0.00653,,,,9.1457e+03,6.600e+00,-6.600e+00,0.092086,1.410000e-04,-1.770000e-04,0.65374,0.01481,-0.01458,LS+MCMC,14.59,1.110e+00,-1.110e+00,0.0473,,,85.20,,,1521.0,,,1264.67,307.23,-276.48,7.541000,0.171000,-0.171000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3050,0.3201,q1_q17_dr25_koi,130.8383200,1725.5824000,1741.50,1,384,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.66620,Mandel and Agol (2002 ApJ 580 171),,,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,006/006922/006922244/dv/kplr006922244-001-20160209194854_dvs.pdf,6225.00,112.00,-137.00,4.169,0.055,-0.045,-0.0400,0.1500,-0.1500,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780,,,,q1_q17_dr25_stellar,281.288120,42.451080,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293,0.000,18.752527460,0.000000220,42.45106340,0.00000210,-0.55150,0.00870,-0.05970,0.00750,1.000000e-05,1.70000e-04,3.600000e-04,2.10000e-04,0.0140,0.0670,-0.0130,0.0670,0.0200,0.0670,-0.0280,0.0670,0.1760,0.0680,0.1780,0.0680
